github.com/AlDanial/cloc v 1.96  T=365.49 s (52.1 files/s, 8817.0 lines/s)
-------------------------------------------------------------------------------
Language                     files          blank        comment           code
-------------------------------------------------------------------------------
JavaScript                   11119         206546         210616        1333197
Arduino Sketch                5784         119444          64690         702280
Text                           114          26681              0         271245
CSV                             38              0              0         190324
JSON                            57             19              0          49356
HTML                          1556           3219            586          16498
SVG                            102              2             49           8030
Java                            53           1486            767           7955
GLSL                           118           1680            634           4854
CSS                             85            235             78           2049
XML                              1              1              0             13
Properties                       6              0              0             11
Markdown                         1              0              0              4
PHP                              1              0              0              1
-------------------------------------------------------------------------------
SUM:                         19035         359313         277420        2585817
-------------------------------------------------------------------------------
